No.,英語,品詞,日本語,学年,ページ,単元,
578,problem,名,問題,1,79,RLE2,
579,little,副,少し,1,79,RLE2,
580,dark,形,暗い,1,79,RLE2,
581,light,名,明かり、電灯,1,79,RLE2,
582,just,副,ただ…だけ、ほんの、ちょっと,1,79,RLE2,
583,moment,名,瞬間、ちょっとの間,1,79,RLE2,
584,off,副,（電気・ガス・水道などが）切れて、とまって,1,79,RLE2,
585,borrow,動,…を借りる,1,79,RLE2,
586,help,動,…を手伝う、助ける、…の役に立つ,1,79,RLE2,
587,homework,名,宿題,1,79,RLE2,
588,No problem.,連,いいですよ。もちろん。,1,79,RLE2,
590,turn on,連,（スイッチ）を入れる、つける,1,79,RLE2,
591,help ... with ～ ,連,…を～の面で手伝う,1,79,RLE2,
592,All right.,連,よろしい。わかった。了解した。,1,79,RLE2,
593,Just a moment.,連,ちょっと待って。,1,79,RLE2,
594,turn off,連,（スイッチ）をとめる、消す,1,79,RLE2,
595,all,副,全く、全て、すっかり,1,79,RLE2,
596,and,接,そして、それから,1,79,RLE2,
597,can,助,【許可】…してもよいですか。【依頼】…してくれますか。,1,79,RLE2,
599,no,形,1つも…ない、少しも…ない,1,79,RLE2,
601,this,形,この,1,79,RLE2,
602,hers,代,彼女のもの,1,80,GfC5,
603,its,代,それの、その,1,80,GfC5,
604,us,代,私たちを［に］,1,80,GfC5,
605,ours,代,私たちのもの,1,80,GfC5,
606,their,代,彼らの、彼女らの、それらの,1,80,GfC5,
607,them,代,彼ら［彼女ら、それら］を［に］,1,80,GfC5,
608,theirs,代,彼ら［彼女ら、それら］のもの,1,80,GfC5,
609,her,代,彼女の,1,80,GfC5,
610,his,代,彼のもの,1,80,GfC5,
611,of,前,【行為の対象】…を、…の、…への,1,81,U7-扉,
612,tomorrow,名/副,明日（は）,1,82,U7-1,
613,plan,名,計画、予定,1,82,U7-1,
614,free,形,ひまな,1,82,U7-1,
615,mean,動,…を意味する、…のことを言う,1,83,U7-1,
617,busy,形,忙しい,1,82,U7-1,
618,talk,動,話す、しゃべる,1,82,U7-1,
619,up,副,[What's up?で] どうしたのですか。,1,82,U7-1,
620,What’s up?,連,どうしたのですか。,1,82,U7-1,
622,sound like,連,…のように聞こえる、思える,1,83,U7-1,
623,look forward to,連,…を楽しみに待つ,1,83,U7-1,
625,hello,間,（電話で）もしもし,1,82,U7-1,
626,at,前,【時刻】…に,1,83,U7-1,
627,online,形,オンラインの,1,83,U7-1,
628,market,名,市場,1,84,U7-2,
629,souvenir,名,記念品、みやげ,1,84,U7-2,
630,place,名,場所、ところ,1,84,U7-2,
631,appear,動,現れる、姿を現す,1,84,U7-2,
632,those,形,あれらの、それらの,1,84,U7-2,
633,buy,動,…を買う,1,84,U7-2,
634,people,名,人々,1,84,U7-2,
635,Welcome to ....,連,…へようこそ。,1,84,U7-2,
636,also,接,そのうえ、さらに,1,84,U7-2,
638,take,動,写真を撮る,1,84,U7-2,
639,welcome,間,ようこそ、いらっしゃい,1,84,U7-2,
640,around,前,…のまわりを回って,1,85,U7-2,
641,home,名,故郷,1,85,U7-2,
642,mom,名,お母さん,1,86,U7-RT,
643,dad,名,お父さん,1,87,U7-RT,
644,travel,動,旅行する,1,86,U7-RT,
645,angry,形,怒った、腹を立てた,1,86,U7-RT,
646,palace,名,宮殿、王宮,1,86,U7-RT,
647,exciting,形,興奮させるような、わくわくさせるような,1,86,U7-RT,
648,late,形,遅い、おくれた、遅刻した,1,86,U7-RT,
649,sorry,形,すまなく思って,1,86,U7-RT,
650,funny,形,おかしな,1,86,U7-RT,
651,OK,間,よろしい、はい、わかった、それでは,1,86,U7-RT,
652,I’m sorry.,連,ごめんなさい。すみません。,1,86,U7-RT,
653,we’re,短,we are,1,86,U7-RT,
654,big,形,大きい,1,86,U7-RT,
655,excuse,名,言い訳、弁解、口実,1,86,U7-RT,
657,how,副,【感嘆】なんと、なんて、どんなに,1,86,U7-RT,
659,too,副,あまりに、…すぎる,1,86,U7-RT,
660,well,間,さて、ところで、それでは,1,86,U7-RT,
661,what,形,【感嘆】なんと、なんて,1,86,U7-RT,
663,along,前,…に沿って,1,89,RLE3,
664,street,名,通り、街路,1,89,RLE3,
665,traffic light,名,交通信号,1,89,RLE3,
666,straight,副,まっすぐに,1,89,RLE3,
667,factory,名,工場,1,89,RLE3,
668,building,名,建物、ビル,1,89,RLE3,
669,woman,名,女性、女の人,1,89,RLE3,
670,hospital,名,病院,1,89,RLE3,
671,left,副,左に［へ］、左側に,1,89,RLE3,
672,right,副,右に［へ］,1,89,RLE3,
673,museum,名,博物館、美術館,1,89,RLE3,
674,post office,名,郵便局,1,89,RLE3,
675,library,名,図書館、図書室,1,89,RLE3,
676,look for,連,…をさがす,1,89,RLE3,
677,Pardon me?,連,何とおっしゃいましたか。もう一度おっしゃってください。［聞き返すときに用いる],1,89,RLE3,
678,Let’s see.,連,［考えながら］ええと。そうですね。,1,89,RLE3,
679,go along ,連,（通り・道）を進む,1,89,RLE3,
681,large,形,大きい、広い,1,89,RLE3,
682,turn,動,向く、曲がる,1,89,RLE3,
683,ethnic,形,民族（特有）の,1,92,U8-1,
684,Africa,名,アフリカ,1,92,U8-1,
685,Kenya,名,ケニア,1,92,U8-1,
686,volunteer,名,ボランティア,1,92,U8-1,
687,need,名,困っている状態、貧困,1,92,U8-1,
688,teach,動,…に（～を）教える,1,93,U8-1,
689,try,動,（…を）試す、やってみる、努力する,1,93,U8-1,
691,respect,動,…を尊敬する、尊重する,1,93,U8-1,
692,become,動,…になる,1,93,U8-1,
693,cousin,名,いとこ,1,92,U8-1,
694,children,名,childの複数形,1,93,U8-1,
695,child,名,子供,1,93,U8-1,
696,country,名,国,1,93,U8-1,
697,always,副,いつも、常に,1,93,U8-1,
698,in need,連,困っている,1,92,U8-1,
699,do one’s best,連,最善を尽くす,1,93,U8-1,
700,try to,連,…しようと試みる、努力する,1,93,U8-1,
704,African,形,アフリカ（人）の,1,94,U8-2,
705,reduce,動,（サイズ・数量・程度など）を減らす、縮小する,1,94,U8-2,
706,waste,名,ごみ、廃棄物,1,94,U8-2,
707,plastic,形,プラスチック［ビニール］製の,1,95,U8-2,
708,paper,形,紙の,1,95,U8-2,
709,straw,名,ストロー,1,95,U8-2,
710,original,形,独創的な、独自の,1,95,U8-2,
711,reusable,形,再利用できる,1,95,U8-2,
713,meat,名,肉,1,94,U8-2,
714,pie,名,パイ,1,94,U8-2,
715,bean,名,豆,1,94,U8-2,
716,soup,名,スープ,1,94,U8-2,
717,chicken,名,とり肉、チキン,1,94,U8-2,
718,curry,名,カレー（料理）,1,94,U8-2,
719,of course,連,もちろん,1,94,U8-2,
720,need to,連,…する必要がある,1,94,U8-2,
721,all,形,全ての、全部の,1,94,U8-2,
722,need,動,…を必要とする,1,94,U8-2,
724,one,代,［前に出てきた名詞のかわり］1つ、1人、…なもの,1,95,U8-2,
725,well,名,井戸,1,96,U8-RT,
726,other,形,（2つの中で）もう1つ［一方］の,1,96,U8-RT,
727,village,名,村,1,96,U8-RT,
728,collect,動,…を集める,1,96,U8-RT,
729,far,副,遠くに［へ］,1,96,U8-RT,
730,group,名,グループ、団体,1,96,U8-RT,
731,build,動,…を建てる、つくる,1,96,U8-RT,
732,these,代,これら、この人たち,1,96,U8-RT,
733,money,名,金、通貨,1,96,U8-RT,
734,get,動,…を得る、受け取る、手に入れる,1,96,U8-RT,
735,clean,形,きれいな、清潔な,1,96,U8-RT,
736,happy,形,幸せな、うれしい、楽しい,1,96,U8-RT,
737,river,名,川,1,96,U8-RT,
738,on the other hand,連,他方では、これに反して,1,96,U8-RT,
739,for a long time ,連,長い間,1,96,U8-RT,
740,for,前,【時間・距離】…の間 ,1,96,U8-RT,
741,from,前,【場所】…から,1,96,U8-RT,
742,help,名,援助、助け,1,96,U8-RT,
743,look,動,…（のよう）に見える,1,96,U8-RT,
744,time,名,時間、期間、ひま,1,96,U8-RT,
745,server,名,給仕、ウェイター,1,99,RLE4,
747,anything,代,［疑問文で］何か,1,99,RLE4,
748,else,副,（その）ほかに［の］,1,99,RLE4,
749,full,形,いっぱいの、満腹の,1,99,RLE4,
750,mushroom,名,キノコ,1,99,RLE4,
751,steak,名,ステーキ,1,99,RLE4,
752,salad,名,サラダ,1,99,RLE4,
753,dessert,名,デザート,1,99,RLE4,
754,would like,連,（ていねいに）…がほしい（のですが）,1,99,RLE4,
755,would like to,連,（ていねいに）…したい（のですが）,1,99,RLE4,
756,No, thank you.,連,いいえ、けっこうです。,1,99,RLE4
757,I’d,短,I would,1,99,RLE4,
758,voice,名,声,1,101,SA2,
759,word,名,歌詞,1,101,SA2,
760,cheer,動,…を元気づける,1,101,SA2,
761,concert,名,演奏会、コンサート,1,101,SA2,
762,dome,名,丸屋根、ドーム,1,101,SA2,
763,stage,名,舞台、ステージ,1,101,SA2,
764,performance,名,演技、演奏、公演,1,101,SA2,
765,again,副,もう一度、再び、また,1,101,SA2,
766,hero,名,英雄、ヒーロー,1,100,SA2,
767,singer,名,歌手,1,101,SA2,
768,world,名,世界,1,101,SA2,
769,music,名,音楽,1,101,SA2,
770,all over,連,…のいたるところに［で、の］,1,101,SA2,
771,cheer ... up,連,…を元気づける,1,101,SA2,
772,have,動,…を開く、開催する,1,101,SA2,
773,over,前,…のいたるところに、一面に,1,101,SA2,
775,back,副,戻って、返して,1,104,U9-1,
776,during,前,…の間ずっと、…の間に,1,104,U9-1,
777,stay,動,滞在する、泊まる,1,104,U9-1,
778,snowboarding,名,スノーボード（をすること）,1,104,U9-1,
779,Christmas Day,名,クリスマス,1,105,U9-1,
780,relax,動,くつろぐ,1,105,U9-1,
781,met,動,meetの過去形,1,105,U9-1,
782,ice hockey,名,アイスホッケー,1,105,U9-1,
783,went,動,goの過去形,1,104,U9-1,
784,vacation,名,休暇、休み,1,104,U9-1,
785,mountain,名,山,1,104,U9-1,
786,saw,動,seeの過去形,1,105,U9-1,
787,go back ,連,帰る、戻る,1,104,U9-1,
788,at home ,連,家で［に］,1,105,U9-1,
789,year,名,年、1年,1,101,U9-1,
791,last,形,この前の、昨…、先…,1,104,U9-1,
792,meet,動,（…に）会う、…と出会う、面会する,1,105,U9-1,
793,did,助/動,doの過去形,1,106,U9-2,
794,traditional,形,伝統的な,1,106,U9-2,
795,special,形,特別な,1,106,U9-2,
796,grandparent,名,祖父、祖母,1,107,U9-2,
797,wrote,動,writeの過去形,1,107,U9-2,
798,New Year,名,新年,1,107,U9-2,
799,ate,動,eatの過去形,1,106,U9-2,
800,New Year's Eve,名,大みそか,1,106,U9-2,
801,card,名,カード、はがき,1,107,U9-2,
802,rice cake,連,もち,1,106,U9-2,
803,Good for you!,連,よくやった。,1,107,U9-2,
804,didn’t,短,did not,1,106,U9-2,
805,How nice!,連,いいね。すばらしい。うれしい。,1,106,U9-2,
806,clean,動,…をそうじする,1,107,U9-2,
807,for,前,…にとって,1,107,U9-2,
808,spent,動,spendの過去形,1,108,U9-RT,
809,spend,動,（時）を過ごす,1,108,U9-RT,
810,came,動,comeの過去形,1,108,U9-RT,
811,bought,動,buyの過去形,1,108,U9-RT,
812,fortune slip,名,おみくじ,1,108,U9-RT,
813,read,動,readの過去形,1,108,U9-RT,
814,said,動,sayの過去形,1,108,U9-RT,
815,charm,名,お守り,1,108,U9-RT,
816,got,動,getの過去形,1,108,U9-RT,
817,wooden,形,木でできた、木製の,1,108,U9-RT,
818,wish,名,願い、願い事,1,108,U9-RT,
819,board game,名,ボードゲーム,1,108,U9-RT,
820,New Year's Day,名,元日,1,108,U9-RT,
821,future,名,未来、将来,1,108,U9-RT,
822,bad,形,悪い、よくない、ひどい,1,108,U9-RT,
823,tablet,名,板状の小片,1,108,U9-RT,
824,had,動,haveの過去形,1,108,U9-RT,
825,have a ... time ,連,…な時を過ごす,1,108,U9-RT,
826,have,動,（ある経験）をする、（ある時）を過ごす、（病気）にかかっている,1,108,U9-RT,
827,so,副,そんなに、それほど,1,108,U9-RT,
828,time,名,（ある経験をした）時間,1,108,U9-RT,
829,dear,形,親愛なる…（様）［手紙などの書き出し］,1,111,RLE5,
830,grandma,名,おばあちゃん,1,111,RLE5,
831,grandpa,名,おじいちゃん,1,111,RLE5,
832,ski,動,スキーをする,1,111,RLE5,
833,fell,動,fallの過去形,1,111,RLE5,
834,Mt.,名,…山,1,111,RLE5,
835,snow,名,雪,1,111,RLE5,
836,outside,副,外で［に、へ］,1,111,RLE5,
837,miss,動,…がいないのをさびしく思う,1,111,RLE5,
838,care,名,世話,1,111,RLE5,
839,down,副,下に、下がって,1,111,RLE5,
840,hotel,名,ホテル、旅館,1,111,RLE5,
841,go ...ing ,連,…しに行く,1,111,RLE5,
842,for the first time,連,はじめて,1,111,RLE5,
843,fall down,連,倒れる,1,111,RLE5,
844,take care of,連,…をだいじにする、体に気をつける,1,111,RLE5,
845,How are you?,連,お元気ですか。調子はどうですか。,1,111,RLE5,
846,am,動,（I）いる、ある,1,111,RLE5,
847,fall,動,転ぶ、倒れる,1,111,RLE5,
849,love,名,"Love, ［手紙などの結びの言葉］",1,111,RLE5,
852,time,名,…回、…度,1,111,RLE5,
854,remember,動,（…を）思い出す、覚えている,1,114,U10-1,
855,bored,形,退屈した、うんざりした,1,114,U10-1,
856,were,動,areの過去形,1,114,U10-1,
857,realize,動,…だと気づく,1,114,U10-1,
858,made,動,makeの過去形,1,115,U10-1,
859,mistake,名,誤り、まちがい,1,115,U10-1,
860,anyone,代,［肯定文で］だれでも,1,115,U10-1,
861,won,動,winの過去形,1,115,U10-1,
862,anyway,副,とにかく、それでも,1,115,U10-1,
863,chorus,名,合唱,1,114,U10-1,
864,contest,名,コンテスト、コンクール,1,114,U10-1,
865,was,動/助,am、isの過去形,1,114,U10-1,
866,memory,名,思い出,1,115,U10-1,
867,at first ,連,最初は、はじめのうちは,1,114,U10-1,
868,like ...ing,連,…するのが好きである,1,114,U10-1,
869,wasn’t,短,was not,1,115,U10-1,
870,weren’t,短,were not,1,115,U10-1,
871,chorus contest,連,合唱コンクール,1,114,U10-1,
872,place,名,順位、立場,1,114,U10-1,
873,practice,名,練習,1,114,U10-1,
874,win,動,…を勝ち取る、獲得する,1,114,U10-1,
875,best,形,［goodの最上級］最もよい,1,115,U10-1,
876,can,助,【可能性】…することがあり得る,1,115,U10-1,
877,make,動,…をする、行う,1,115,U10-1,
878,hey,間,やあ、おい、ちょっと,1,116,U10-2,
879,break,名,休憩,1,116,U10-2,
880,then,副,そのとき（に）,1,116,U10-2,
881,bring,動,…をもたらす,1,117,U10-2,
882,heart,名,心臓、心,1,117,U10-2,
883,beat,動,どきどきする,1,117,U10-2,
884,way,名,道、道筋,1,117,U10-2,
885,each,形,それぞれの、各自の,1,117,U10-2,
886,album,名,アルバム,1,116,U10-2,
887,yesterday,名/副,昨日（は）,1,116,U10-2,
888,fast,副,速く,1,117,U10-2,
889,bring back,連,…を思い出させる,1,117,U10-2,
890,on one’s way (to) ,連,（…へ行く）途中で,1,117,U10-2,
891,show,動,見せる、示す,1,116,U10-2,
893,these,形,これらの,1,117,U10-2,
894,trip,名,旅行,1,118,U10-RT,
895,campground,名,キャンプ場,1,118,U10-RT,
896,hot spring,名,温泉,1,118,U10-RT,
897,set,動,setの過去形,1,118,U10-RT,
898,set,動,…を置く、すえる、配置する,1,118,U10-RT,
899,tent,名,テント,1,118,U10-RT,
900,main,形,主な、主要な,1,118,U10-RT,
901,campfire,名,キャンプファイア,1,118,U10-RT,
902,camping,名,キャンプ（生活）,1,118,U10-RT,
903,night,名,夜、晩,1,118,U10-RT,
904,event,名,出来事、行事,1,118,U10-RT,
905,there is［are］,連,…がある［いる］,1,118,U10-RT,
906,set up,連,…を建てる,1,118,U10-RT,
907,there’s,短,there is,1,119,U10-RT,
908,isn’t,短,is not,1,119,U10-RT,
909,aren’t,短,are not,1,119,U10-RT,
910,around,前,…のまわりに、周囲に,1,118,U10-RT,
912,up,副,上へ［に］,1,118,U10-RT,
913,wrong,形,ぐあいが悪い,1,121,RLE6,
914,stomachache,名,胃痛、腹痛,1,121,RLE6,
915,before,前,…の前に［の］,1,121,RLE6,
916,mild,形,穏やかな、強くない、軽い,1,121,RLE6,
917,medicine,名,薬,1,121,RLE6,
918,rest,名,休み、休息,1,121,RLE6,
919,headache,名,頭痛,1,121,RLE6,
920,fever,名,熱,1,121,RLE6,
921,toothache,名,歯痛,1,121,RLE6,
922,doctor,名,医者、医師,1,121,RLE6,
923,What’s wrong?,連,どうかしたのですか。,1,121,RLE6,
924,take a rest,連,ひと休みする,1,121,RLE6,
926,have,動,…を食べる、飲む,1,121,RLE6,
927,OK,形,よろしい、だいじょうぶ,1,121,RLE6,
928,take,動,（薬・飲み物）を飲む,1,121,RLE6,
929,ran,動,runの過去形,1,125,SA3,
930,relay,名,リレー競走,1,125,SA3,
931,another,形,ほかの、別の、ちがった,1,125,SA3,
932,runner,名,走者,1,125,SA3,
933,behind,前,…の後ろに,1,125,SA3,
934,sports day,名,運動会,1,125,SA3,
935,and,接,［同じ語をandで結んで］ますます、どんどん,1,125,SA3,
936,just,副,ちょうど、まさに,1,125,SA3,
937,naughty,形,いたずらな、わんぱくな,1,126,LR(p.126),
938,trick,名,いたずら,1,126,LR(p.126),
941,let,動,letの過去形,1,126,LR(p.126),
942,let,動,…を～の状態にさせる,1,126,LR(p.126),
943,shout,動,（ …と）叫ぶ,1,126,LR(p.126),
944,escape,動,（…から）逃げる,1,126,LR(p.126),
945,later,副,もっと遅く、あとで,1,126,LR(p.126),
946,thought,動,thinkの過去形,1,126,LR(p.126),
947,die,動,死ぬ,1,126,LR(p.126),
948,alone,形,ひとりだけの、ただ…だけ,1,126,LR(p.126),
949,out,副,外へ［に］、外出して,1,126,LR(p.126),
950,one day,連,ある日,1,126,LR(p.126),
951,be full of ,連,…でいっぱいである,1,126,LR(p.126),
952,out of,連,…から（外へ）,1,126,LR(p.126),
954,little,形,小さい、かわいい,1,126,LR(p.126),
955,one,形,［時を表す名詞の前に用いて］ある…,1,126,LR(p.126),
957,think,動,…だと思う,1,126,LR(p.126),
959,took,動,takeの過去形,1,127,LR(p.127),
960,vendor,名,（屋台の）もの売り、行商人,1,127,LR(p.127),
961,cart,名,カート、手押し車,1,127,LR(p.127),
962,left,動,leaveの過去形,1,127,LR(p.127),
963,leave,動,…を置いていく,1,127,LR(p.127),
964,brought,動,bringの過去形,1,127,LR(p.127),
965,chestnut,名,栗,1,127,LR(p.127),
966,heard,動,hearの過去形,1,127,LR(p.127),
967,hear,動,…が聞こえる、…を聞く,1,127,LR(p.127),
968,something,代,何か、あるもの,1,127,LR(p.127),
969,himself,代,彼自身を［に］,1,127,LR(p.127),
970,neighbor,名,近所の人、隣人,1,127,LR(p.127),
971,receive,動,…を受け取る,1,127,LR(p.127),
972,someone,代,だれか、ある人,1,127,LR(p.127),
973,thing,名,もの、こと,1,127,LR(p.127),
974,god,名,神,1,127,LR(p.127),
975,say to oneself,連,…とひとり言を言う,1,127,LR(p.127),
976,bring,動,（…を持ってくる、…を連れてくる,1,127,LR(p.127),
977,take,動,…を（手に）取る、…を持っていく、連れていく,1,127,LR(p.127),
978,through,前,…を通り抜けて,1,128,LR(p.128),
979,door,名,ドア、戸,1,128,LR(p.128),
980,into,前,…の中へ［に］,1,128,LR(p.128),
982,gun,名,銃,1,128,LR(p.128),
983,bang,名,（衝突・銃・ドアなどの音を表して）バン、ズドン、,1,128,LR(p.128),
984,ground,名,地面、土地,1,128,LR(p.128),
985,fresh,形,新鮮な,1,128,LR(p.128),
986,floor,名,床,1,128,LR(p.128),
987,nod,動,うなずく,1,128,LR(p.128),
988,weakly,副,弱く、弱々しく,1,128,LR(p.128),
989,drop,動,…を落とす,1,128,LR(p.128),
990,smoke,名,煙,1,128,LR(p.128),
991,rose,動,riseの過去形,1,128,LR(p.128),
992,rise,動,のぼる、上がる、上昇する,1,128,LR(p.128),
993,look up,連,視線を上げる、見上げる,1,128,LR(p.128),
994,pick up,連,…を拾い上げる、手に取る,1,128,LR(p.128),
995,tired,形,疲れた,1,140,WR(教室）,
996,sleepy,形,眠い,1,140,WR(教室）,
997,hungry,形,空腹の、飢えた,1,140,WR(教室）,
998,thirsty,形,のどのかわいた,1,140,WR(教室）,
999,weather,名,天気、天候,1,140,WR(教室）,
1000,sunny,形,日の当たる、晴れた,1,140,WR(教室）,
1001,cloudy,形,くもった,1,140,WR(教室）,
1002,windy,形,風の吹く、風の強い、風の当たる,1,140,WR(教室）,
1003,snowy,形,雪の降る,1,140,WR(教室）,
1004,warm,形,あたたかい,1,140,WR(教室）,
1005,cold,形,冷たい、寒い,1,140,WR(教室）,
1006,humid,形,湿った、湿気の多い,1,140,WR(教室）,
1007,stand,動,立つ、立っている,1,141,WR(教室）,
1008,stand up,連,立ち上がる,1,141,WR(教室）,
1009,sit,動,すわる、すわっている,1,141,WR(教室）,
1010,sit down,連,すわる,1,141,WR(教室）,
1011,raise,動,…を上げる,1,141,WR(教室）,
1012,pair,名,1対、1組、ペア,1,141,WR(教室）,
1013,repeat,動,くり返し言う、くり返す,1,141,WR(教室）,
1014,quiet,形,静かな,1,141,WR(教室）,
1015,good,形,元気な、健康な,1,140,WR(教室）,
1016,in,前,【方法・道具・材料】…で、…を使って,1,141,WR(教室）,
1017,up,副,起立して、起きて,1,141,WR(教室）,
1018,color,名,色、色彩,1,140,WR2,
1019,shape,名,形,1,140,WR2,
1020,orange,名/形,オレンジ（色の）,1,140,WR2,
1021,yellow,名/形,黄色（い）,1,140,WR2,
1022,pink,名/形,ピンク（色の）,1,140,WR2,
1023,purple,名/形,紫（色の）,1,140,WR2,
1024,circle,名,円、丸,1,140,WR2,
1025,square,名,正方形,1,140,WR2,
1026,triangle,名,三角形,1,140,WR2,
1027,rectangle,名,長方形,1,140,WR2,
1028,spring,名,春,1,141,WR3,
1029,autumn,名,秋,1,141,WR3,
1030,Dolls' Festival,名,ひな祭り,1,141,WR3,
1031,Children's Day,名,こどもの日,1,141,WR3,
1032,Star Festival,名,七夕祭り,1,141,WR3,
1033,firework,名,花火,1,141,WR3,
1034,festival,名,祭り、催し物,1,141,WR3,
1035,Halloween,名,ハロウィーン,1,141,WR3,
1036,Christmas,名,クリスマス（=Christmas Day）,1,141,WR3,
1037,bread,名,パン、食パン,1,142,WR6,
1038,sandwich,名,サンドイッチ,1,142,WR6,
1039,pizza,名,ピザ,1,142,WR6,
1040,hamburger,名,ハンバーガー,1,142,WR6,
1041,donut,名,ドーナツ,1,142,WR6,
1042,rice ball,名,おにぎり,1,142,WR6,
1043,pancake,名,パンケーキ、ホットケーキ,1,142,WR6,
1044,hot dog,名,ホットドッグ,1,142,WR6,
1045,French fries,名,フライドポテト,1,142,WR6,
1046,fried chicken,名,フライドチキン,1,142,WR6,
1047,sausage,名,ソーセージ,1,142,WR6,
1048,omelet,名,オムレツ,1,142,WR6,
1049,spaghetti,名,スパゲッティ,1,142,WR6,
1050,coffee,名,コーヒー,1,142,WR6,
1051,soda,名,ソーダ、炭酸飲料,1,142,WR6,
1052,parfait,名,パフェ,1,142,WR6,
1053,ice cream,名,アイスクリーム,1,142,WR6,
1054,shaved ice,名,かき氷,1,142,WR6,
1055,chocolate,名,チョコレート,1,142,WR6,
1056,drink,名,飲み物,1,142,WR6,
1057,vegetable,名,野菜,1,142,WR7,
1058,banana,名,バナナ,1,142,WR7,
1059,grape,名,ブドウ,1,142,WR7,
1060,kiwi fruit,名,キウイフルーツ,1,142,WR7,
1061,lemon,名,レモン,1,142,WR7,
1062,melon,名,メロン,1,142,WR7,
1063,potato,名,ジャガイモ,1,142,WR7,
1064,tomato,名,トマト,1,142,WR7,
1065,lettuce,名,レタス,1,142,WR7,
1066,onion,名,タマネギ,1,142,WR7,
1067,pineapple,名,パイナップル,1,142,WR7,
1068,strawberry,名,イチゴ,1,142,WR7,
1069,watermelon,名,スイカ,1,142,WR7,
1070,corn,名,トウモロコシ,1,142,WR7,
1071,pork,名,豚肉,1,142,WR7,
1072,bacon,名,ベーコン,1,142,WR7,
1073,ham,名,ハム,1,142,WR7,
1074,orange,名,オレンジ,1,142,WR7,
1075,panda,名,（ジャイアント）パンダ,1,142,WR8,
1076,bear,名,クマ,1,142,WR8,
1077,elephant,名,ゾウ,1,142,WR8,
1078,tiger,名,トラ,1,142,WR8,
1079,lion,名,ライオン,1,142,WR8,
1080,zebra,名,シマウマ,1,142,WR8,
1081,giraffe,名,キリン,1,142,WR8,
1082,camel,名,ラクダ,1,142,WR8,
1083,frog,名,カエル,1,142,WR8,
1084,whale,名,クジラ,1,142,WR8,
1085,penguin,名,ペンギン,1,142,WR8,
1086,sea turtle,名,ウミガメ,1,142,WR8,
1087,shark,名,サメ、フカ,1,142,WR8,
1088,ant,名,アリ,1,142,WR8,
1089,butterfly,名,チョウ,1,142,WR8,
1090,spider,名,クモ,1,142,WR8,
1091,forest,名,森、森林,1,143,WR9,
1092,volleyball,名,バレーボール,1,143,WR10,
1093,softball,名,ソフトボール,1,143,WR10,
1094,dodgeball,名,ドッジボール,1,143,WR10,
1095,table tennis,名,卓球,1,143,WR10,
1096,badminton,名,バドミントン,1,143,WR10,
1097,track and field,名,陸上競技,1,143,WR10,
1098,skiing,名,スキー,1,143,WR10,
1099,dance,名,ダンス、おどり,1,143,WR10,
1100,piano,名,ピアノ,1,143,WR11,
1101,violin,名,バイオリン,1,143,WR11,
1102,guitar,名,ギター,1,143,WR11,
1103,recorder,名,リコーダー,1,143,WR11,
1104,harmonica,名,ハーモニカ,1,143,WR11,
1105,drum,名,ドラム、たいこ,1,143,WR11,
1106,triangle,名,トライアングル,1,143,WR11,
1107,stationery,名,文房具,1,143,WR12,
1108,computer,名,コンピュータ,1,143,WR12,
1109,smartphone,名,スマートフォン,1,143,WR12,
1110,chair,名,いす,1,143,WR12,
1111,racket,名,ラケット,1,143,WR12,
1112,glass,名,コップ、グラス,1,143,WR12,
1113,dictionary,名,辞書,1,143,WR12,
1114,present,名,プレゼント,1,143,WR12,
1115,camera,名,カメラ,1,143,WR12,
1116,crayon,名,クレヨン,1,143,WR12,
1117,marker,名,マーカー（ペン）,1,143,WR12,
1118,pencil,名,えんぴつ,1,143,WR12,
1119,pencil case,名,筆箱,1,143,WR12,
1120,eraser,名,消しゴム,1,143,WR12,
1121,ruler,名,定規,1,143,WR12,
1122,scissors,名,［複数あつかい］はさみ,1,143,WR12,
1123,stapler,名,ホッチキス,1,143,WR12,
1124,shirt,名,シャツ,1,143,WR12,
1125,sweatshirt,名,スウェットシャツ、トレーナー,1,143,WR12,
1126,sweater,名,セーター,1,143,WR12,
1127,pants,名,［複数あつかい］ズボン,1,143,WR12,
1128,jeans,名,［複数あつかい］ジーンズ、ジーパン,1,143,WR12,
1129,glove,名,てぶくろ、グローブ,1,143,WR12,
1130,sock,名,［ふつうsocksで］靴下、ソックス,1,143,WR12,
1131,shoe,名,くつ,1,143,WR12,
1132,tablet,名,タブレット型コンピュータ,1,143,WR12,
1133,watch,名,腕時計、懐中時計,1,143,WR12,
1134,entrance,名,玄関、入り口,1,144,WR13,
1135,restroom,名,手洗い、トイレ,1,144,WR13,
1136,office,名,事務所、役所,1,144,WR13,
1137,teachers’ office,連,職員室,1,144,WR13,
1138,principal's office,名,校長室,1,144,WR13,
1139,nurse's office,名,保健室,1,144,WR13,
1140,social studies,名,社会科,1,144,WR14,
1141,science,名,科学、理科,1,144,WR14,
1142,home economics,名,家庭科,1,144,WR14,
1143,moral education,名,道徳,1,144,WR14,
1144,school trip,名,修学旅行,1,144,WR15,
1145,school festival,名,文化祭,1,144,WR15,
1146,field trip,名,校外見学、遠足,1,144,WR15,
1147,drama,名,劇,1,144,WR15,
1148,swimming meet,名,水泳大会,1,144,WR15,
1149,entrance ceremony,名,入学式,1,144,WR15,
